true_metascore,predicted_metascore
75.0,73.39166666666667
68.0,69.38333333333334
57.0,60.65
66.0,69.24166666666666
71.0,70.19166666666666
58.0,59.983333333333334
79.0,77.73333333333333
77.0,78.29166666666667
54.0,53.24166666666667
79.0,77.25833333333334
81.0,81.23333333333333
70.0,69.55833333333334
72.0,74.46666666666667
84.0,82.56666666666666
64.0,65.39166666666667
94.0,90.66666666666667
42.0,47.59166666666667
78.0,77.275
63.0,62.608333333333334
71.0,70.76666666666667
78.0,77.79166666666667
54.0,59.31666666666667
62.0,65.05
75.0,72.78333333333333
79.0,75.01666666666667
62.0,63.7
81.0,76.06666666666666
78.0,73.175
82.0,77.45
68.0,72.51666666666667
55.0,60.475
62.0,66.29166666666667
79.0,82.6
76.0,74.66666666666667
64.0,66.86666666666666
61.0,64.09166666666667
69.0,66.90833333333333
61.0,62.608333333333334
65.0,67.14166666666667
81.0,79.975
83.0,79.89166666666667
87.0,83.25
73.0,71.48333333333333
51.0,55.45
61.0,62.175
76.0,71.06666666666666
69.0,69.43333333333334
74.0,73.41666666666667
76.0,67.9
68.0,68.31666666666666
73.0,72.88333333333334
80.0,80.825
71.0,74.18333333333334
50.0,57.15
84.0,79.4
70.0,71.60833333333333
77.0,76.57916666666667
70.0,68.10833333333333
81.0,78.16666666666667
76.0,77.50833333333334
76.0,73.80833333333334
86.0,85.55
79.0,77.925
56.0,55.958333333333336
69.0,69.83333333333333
83.0,80.83333333333333
88.0,86.24166666666666
73.0,73.60833333333333
85.0,81.2
70.0,73.50833333333334
59.0,60.1
69.0,67.95833333333333
78.0,74.59166666666667
59.0,61.36666666666667
77.0,78.69166666666666
84.0,80.56666666666666
75.0,74.33333333333333
70.0,63.425
87.0,85.55
72.0,72.9
78.0,77.575
80.0,79.5
62.0,74.76666666666667
67.0,68.04166666666667
62.0,60.916666666666664
60.0,62.71666666666667
85.0,83.73333333333333
54.0,55.34166666666667
65.0,69.86666666666666
58.0,64.96666666666667
64.0,66.23333333333333
55.0,67.025
78.0,74.83333333333333
65.0,64.84166666666667
82.0,78.95833333333333
75.0,74.48333333333333
64.0,65.75
71.0,70.87916666666666
76.0,76.51666666666667
88.0,86.74166666666666
61.0,66.425
77.0,75.19833333333332
76.0,75.325
67.0,66.3
69.0,69.225
74.0,74.45833333333333
73.0,73.26666666666667
54.0,56.6
61.0,61.21666666666667
90.0,88.825
84.0,80.70833333333333
70.0,71.31666666666666
69.0,68.36666666666666
51.0,60.333333333333336
84.0,84.975
82.0,80.65833333333333
69.0,67.45833333333333
68.0,69.73333333333333
76.0,75.175
92.0,90.10833333333333
65.0,64.20833333333333
78.0,79.08333333333333
72.0,73.86666666666666
65.0,65.1
84.0,82.325
85.0,83.81666666666666
80.0,77.69166666666666
69.0,71.24166666666666
50.0,51.5
75.0,74.05
82.0,81.00833333333334
59.0,61.7
88.0,87.04166666666667
78.0,78.56666666666666
79.0,74.85833333333333
71.0,72.13333333333334
90.0,84.54166666666667
70.0,69.6
55.0,59.96666666666667
