true_metascore,predicted_metascore
75.0,71.47271
68.0,70.71601
57.0,67.36175
66.0,75.23608
71.0,65.244804
58.0,63.53632
79.0,72.16733
77.0,78.62889
54.0,55.84011
79.0,71.389366
81.0,79.14157
70.0,66.823494
72.0,76.741615
84.0,79.87192
64.0,67.11368
94.0,81.46554
42.0,55.37471
78.0,73.29383
63.0,63.923206
71.0,69.76344
78.0,78.05028
54.0,65.06506
62.0,68.07344
75.0,72.713234
79.0,71.68475
62.0,64.94463
81.0,70.20338
78.0,68.71948
82.0,72.06041
68.0,77.01253
55.0,64.68837
62.0,77.33978
79.0,84.53443
76.0,71.177444
64.0,71.291855
61.0,71.99105
69.0,63.092968
61.0,65.67043
65.0,69.32708
81.0,76.284645
83.0,76.03789
87.0,77.19993
73.0,72.31495
51.0,59.29425
61.0,64.7173
76.0,64.77233
69.0,72.381905
74.0,74.65039
76.0,63.003216
68.0,72.51817
73.0,74.2183
80.0,81.10586
71.0,78.143974
50.0,62.524094
84.0,72.917915
70.0,73.0373
77.0,75.89759
70.0,61.757343
81.0,75.09237
76.0,77.36266
76.0,63.641415
86.0,80.84113
79.0,75.556145
56.0,56.713432
69.0,69.62198
83.0,77.86938
88.0,82.51422
73.0,71.46283
85.0,78.243484
70.0,72.49596
59.0,60.582993
69.0,66.54636
78.0,68.89013
59.0,62.7414
77.0,79.34367
84.0,78.47207
75.0,73.17678
70.0,55.770554
87.0,76.51308
72.0,78.02385
78.0,78.56153
80.0,75.13679
62.0,80.39052
67.0,69.19399
62.0,60.50201
60.0,65.06643
85.0,81.40077
54.0,59.878937
65.0,74.20846
58.0,68.998
64.0,69.90835
55.0,76.959145
78.0,72.1746
65.0,64.36605
82.0,72.25239
75.0,74.34321
64.0,65.03679
71.0,67.9534
76.0,77.67216
88.0,88.2914
61.0,75.2704
77.0,74.49946
76.0,74.10645
67.0,64.09621
69.0,71.28118
74.0,77.24496
73.0,74.47604
54.0,62.684284
61.0,65.92927
90.0,82.582535
84.0,77.37863
70.0,73.56458
69.0,68.67855
51.0,69.48491
84.0,82.343796
82.0,78.41755
69.0,65.94798
68.0,71.56961
76.0,74.92295
92.0,81.91327
65.0,64.3004
78.0,76.82508
72.0,78.355156
65.0,67.041695
84.0,74.84014
85.0,81.15037
80.0,73.51389
69.0,74.30867
50.0,58.062717
75.0,75.1523
82.0,71.58422
59.0,69.125374
88.0,83.55389
78.0,77.57222
79.0,68.89724
71.0,75.64092
90.0,70.74682
70.0,67.59023
55.0,67.101906
82.0,69.119804
67.0,72.97564
77.0,64.953125
62.0,56.630276
77.0,66.95146
69.0,64.44246
60.0,73.22054
77.0,78.674576
76.0,66.03076
66.0,69.73131
45.0,50.103203
83.0,74.32832
73.0,74.8251
69.0,62.673378
64.0,68.46854
83.0,75.5272
67.0,69.5762
61.0,70.016975
71.0,68.57971
61.0,61.155857
87.0,77.378075
33.0,45.80491
83.0,70.448364
74.0,72.71176
85.0,79.43315
75.0,72.13806
44.0,59.252098
51.0,61.2237
56.0,63.29832
51.0,56.61131
64.0,74.67605
49.0,66.69559
82.0,69.46463
72.0,60.464615
81.0,72.092926
63.0,62.123486
74.0,75.7593
77.0,71.30874
60.0,60.939205
59.0,58.75699
82.0,65.37878
90.0,80.181076
38.0,40.807957
77.0,75.54579
83.0,78.3255
82.0,71.30814
80.0,70.76155
59.0,68.918076
69.0,73.23775
50.0,57.005344
66.0,64.68071
74.0,70.275116
72.0,74.94669
79.0,71.32575
52.0,68.78292
88.0,79.51941
70.0,70.24902
76.0,72.83086
32.0,50.936836
79.0,76.401306
72.0,68.83172
73.0,73.82166
71.0,65.57092
67.0,70.2051
83.0,79.39703
76.0,72.91017
85.0,80.02854
92.0,79.84649
78.0,75.95628
81.0,69.149925
49.0,59.021664
60.0,49.53335
82.0,77.770065
76.0,75.43007
68.0,71.28058
55.0,65.827805
79.0,72.954056
86.0,78.02933
70.0,70.84631
87.0,80.929955
61.0,64.12714
77.0,80.15244
69.0,71.085365
59.0,68.88591
73.0,76.34775
70.0,70.46466
53.0,54.881454
84.0,81.49574
86.0,76.06963
62.0,67.8355
88.0,81.201126
86.0,80.76162
45.0,62.604908
72.0,70.71641
73.0,66.51672
76.0,77.54807
61.0,71.95278
64.0,65.64909
85.0,72.59324
80.0,80.70957
80.0,78.726105
70.0,71.3064
85.0,79.87936
81.0,72.26043
63.0,64.56131
92.0,71.08193
68.0,69.34837
81.0,75.02941
79.0,74.170746
82.0,83.88902
66.0,74.047745
68.0,69.26473
70.0,66.0691
90.0,79.59717
72.0,71.87917
39.0,63.06814
64.0,68.630615
77.0,76.413315
69.0,65.262505
81.0,74.216644
64.0,66.313835
80.0,78.35276
68.0,69.91187
79.0,69.62611
44.0,51.5096
54.0,63.68134
84.0,79.399414
59.0,63.04745
70.0,71.94667
70.0,63.706543
56.0,63.211506
67.0,75.026085
75.0,73.14095
63.0,67.62567
61.0,63.154545
80.0,72.44882
78.0,71.171455
81.0,77.217
59.0,63.904423
82.0,67.34604
66.0,69.32516
74.0,66.67466
70.0,71.28592
66.0,51.790928
64.0,65.55286
81.0,69.49384
61.0,63.405804
60.0,62.602734
74.0,71.19601
73.0,66.61312
67.0,67.28766
87.0,80.06093
92.0,78.299675
73.0,70.55735
60.0,67.612366
88.0,81.237335
58.0,65.77131
61.0,66.97519
65.0,69.6287
68.0,71.81454
80.0,76.61068
50.0,58.123848
80.0,73.96413
73.0,70.85995
64.0,73.72211
58.0,54.323685
82.0,77.82424
63.0,67.90903
69.0,71.051575
86.0,79.18956
73.0,75.29196
59.0,68.9568
50.0,59.03193
79.0,75.686356
87.0,79.84475
